時間,新營流量,新營溫度,新營壓力,太保壓力南,太保壓力北,民雄壓力,民雄溫度,民雄流量
2021-11-03 21:00:00,-0.13148176407751999,27.64039,10.438250838898201,9.5776639820921705,5.5369200996948003,3.7230306729742102,28.637295895009899,-0.63146650389135295
2021-11-03 21:00:01,-0.12793377079200199,27.613810000000001,10.4383098497101,9.5839218104570403,5.5380305758812796,3.72903250419655,28.637425606592402,-0.64073706699221999
2021-11-03 21:00:02,-0.12883793682283001,27.613810000000001,10.4365770776896,9.5822721900351002,5.5377677095376203,3.7177475965206801,28.636929650541699,-0.63406073554096898
2021-11-03 21:00:03,-0.130829391118572,27.662009999999999,10.4373817705784,9.58382524731039,5.5379930235464698,3.6787746070502099,28.637219594078999,-0.717839157637716
2021-11-03 21:00:04,-0.13410270105295399,27.648230000000002,10.437757293926399,9.5826074787387494,5.5381861498397704,3.74148481611476,28.6372043338929,-0.767282160842365
2021-11-03 21:00:05,-0.12729284297268201,27.648230000000002,10.4364054098733,9.5810356452960495,5.5377891680146503,3.71818251182665,28.6372653746376,-0.67415687471386498
2021-11-03 21:00:06,-0.12999389592553201,27.648230000000002,10.4368989548451,9.5833209731001094,5.5383846407523301,3.6927880360140399,28.6369372806348,-0.73042881123150405
2021-11-03 21:00:07,-0.134491835800399,27.6661,10.437687553876099,9.5808049666679391,5.53825588989013,3.7005661529070699,28.637479017244001,-0.68140546314664596
2021-11-03 21:00:08,-0.136952540820997,27.689119999999999,10.4367165577903,9.5831278468068106,5.5402086113001703,3.6946009461315401,28.6367999389593,-0.77323363345032903
2021-11-03 21:00:09,-0.13382801770181799,27.689119999999999,10.4364644206852,9.5798071474858801,5.5409864810926299,3.7041416145277002,28.636273462536199,-0.67659850450175996
2021-11-03 21:00:10,-0.136872424843581,27.689119999999999,10.4379021386464,9.5768083253204708,5.54167851697696,3.69586906760262,28.636845719517801,-0.788188615901108
2021-11-03 21:00:11,-0.133129864184344,27.692209999999999,10.4337284648634,9.5764971774034802,5.54196820641691,3.7226873187852898,28.636967801007199,-0.69491072791088604
2021-11-03 21:00:12,-0.13337021211658501,27.64453,10.437515886059799,9.5762691810849994,5.5412225243400002,3.7090401342896402,28.636662597283699,-0.67896383335876798
2021-11-03 21:00:13,-0.128036777048679,27.64453,10.4370867165192,9.5765642351442093,5.5414961199221704,3.6942118113841,28.636777048679999,-0.66122386693117197
2021-11-03 21:00:14,-0.12981077369144001,27.62416,10.4394042320388,9.5766473867427102,5.54141028601404,3.6934564321684702,28.6366091866321,-0.75385319700901199
2021-11-03 21:00:15,-0.13064626888448,27.62416,10.430316567015099,9.5764006142568299,5.5412761705325799,3.7244361361208602,28.637036471845001,-0.68941706088813903
2021-11-03 21:00:16,-0.12992522508774401,27.62416,10.436367857538499,9.57681905455898,5.5424188344346099,3.6964733709751298,28.636716007935298,-0.61509995421944297
2021-11-03 21:00:17,-0.13150465435678099,27.645520000000001,10.4380577126049,9.5767788199145407,5.5418394555547099,3.7097726232260002,28.636792308866202,-0.66923546467266604
2021-11-03 21:00:18,-0.12984510911032901,27.655200000000001,10.434034248161099,9.5772428594803891,5.5418716432702597,3.67591332214253,28.636456584770301,-0.77155501297116402
2021-11-03 21:00:19,-0.131722112009767,27.655200000000001,10.436764839363599,9.5821622153403005,5.5414210152525598,3.7028689150007601,28.636151381046901,-0.66294063787577995
2021-11-03 21:00:20,-0.13124141614527801,27.642900000000001,10.436979424134,9.5795603749999998,5.5419950295131999,3.6617442392797201,28.636517625515001,-0.63085609644437901
2021-11-03 21:00:21,-0.130817945978939,27.642900000000001,10.4368828609873,9.5777524983099305,5.5412171597207402,3.7114436136120901,28.6364947352358,-0.65012208148940098
2021-11-03 21:00:22,-0.12936441324584,27.642900000000001,10.436587806928101,9.5783372418091002,5.5408577302304298,3.71424080573783,28.636212421791502,-1.0546314665038801
2021-11-03 21:00:23,-0.13055470776743699,27.623480000000001,10.4354987892187,9.5763711088509105,5.5416731523577001,3.6926369601709101,28.636029299557499,-0.64844346101021799
2021-11-03 21:00:24,-0.13109262933008001,27.623480000000001,10.4377197415916,9.5764891304745898,5.5419574771783902,3.7133938654051599,28.635830917137199,-0.69674195025178998
